Name,Variable,Type,GCaMP in Vivo (cyto & lck),GCaMP ex Vivo lck,GCaMP ex Vivo cyto,GluSnFR (astrocytic & neuronal),Noisy GCaMP,noisy40x1.41x,noisy40x,hypernoisy,dat_181113_s1_001_bl,Notes
Minimum size,minSize,prep,8,15,8,8,10,10,10,25,4,Minimum size of events to be detected (in pixels)
Spatial smoothing level,smoXY,prep,0.5,0.5,0.5,1,1,0.6,0.6,2,1,Spatial smoothing filter size
Active voxels threshold scale,thrARScl,prep,2,1.75,2,2,0.8,0.6,0.6,2,1,
Temporal cut threshold scale,thrTWScl,prep,2,2,2,2,2,2,2,2,0.5,
Seed growing threshold,thrExtZ,prep,1,1,1,2,0.8,0.6,0.6,1,1,
Slowest propgation,cDelay,event,2,2,2,2,0,0,0,2,2,
Rising phase uncertainty,cRise,event,2,2,2,2,0,0,0,2,2,
GTW smoothness term,gtwSmo,event,1,1,1,0.3,1,1,1,1,1,
GTW windows size,maxStp,event,11,11,11,11,11,11,11,11,11,Maximum propagation delay
Z score threshold for events,zThr,post,2,2,0,7,6,5,5,5,2,
Ignore merging step,ignoreMerge,post,1,1,1,0,1,1,1,0,1,
Maximum merging distance,mergeEventDiscon,post,0,0,0,10,5,5,5,5,0,
Minimum merging correlation,mergeEventCorr,post,0,0,0,0,-1,-1,-1,-1,0, 
Maximum merging time difference,mergeEventMaxTimeDif,post,2,2,2,2,5,5,5,5,2,
,,,,,,,,,,,,
Remove pixels close to image boundary,regMaskGap,prep,5,5,5,5,0,0,0,0,0,
Poisson noise model,usePG,prep,1,1,1,1,1,1,1,1,1,
Frames per segment,cut,prep,200,200,200,40,10000,10000,10000,10000,200,Cut video to pieces to avoid global trend
Baseline window,movAvgWin,prep,25,25,25,20,25,25,25,25,25,
Extend super voxels temporally,extendSV,prep,1,1,1,0,1,1,1,1,1,
Older code for active voxels,legacyModeActRun,prep,1,1,1,0,1,1,1,1,1,
Time window detection range,getTimeWindowExt,prep,50,50,50,50,10000,10000,10000,10000,50,Smaller value for faster run
Pixels for window detection,seedNeib,prep,1,1,1,1,5,5,5,5,1,
Remove seeds,seedRemoveNeib,prep,2,2,2,2,5,5,5,5,2,Should be >= seedNeib
Super voxel significance,thrSvSig,prep,4,4,4,1,1,1,1,1,0.5,
Check more time,gapExt,event,5,5,5,5,5,5,5,5,5,
Super events prefer larger,superEventdensityFirst,event,1,1,0,1,1,1,1,1,1,
Area ratio to find seed curve,gtwGapSeedRatio,event,4,4,4,4,4,4,4,4,4,Larger for smaller proportion
Area to find seed curve,gtwGapSeedMin,event,5,5,5,5,5,5,5,5,5,
Spatial overlap threshold,cOver,event,0.2,0.2,0.2,0,0.2,0.2,0.2,0.2,0.2,
Event show threshold on raw data,minShow1,post,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,
GUI event boundary threshold,minShowEvtGUI,post,0,0,0.5,0,0,0,0,0,0,Smaller to show boundary longer
Ignore decay tau calculation,ignoreTau,post,1,1,1,0,0,0,0,0,1,
Correct baseline trend,correctTrend,post,1,1,0,1,1,1,1,1,1,The order of the model to correct trend
Extend event temporally after merging,extendEvtRe,post,0,0,0,0,1,1,1,1,0,
,,,,,,,,,,,,
Frame rate,frameRate,prep,0.5,1,1,1,0.607216459,0.607216459,0.546200428,0.5462,0.5,Second per frame
Spatial resolution,spatialRes,prep,0.5,1,1,1,0.455659643,0.455659643,0.450629403,0.45063,0.5,Micrometer per pixel
Estimated noise variance,varEst,prep,0.02,0.02,0.02,0.02,0.001842326,0.001842326,0.001842326,4.98E-08,0.02,
Foreground threshold,fgFluo,prep,0,0,0,0,0.07007803,0.07007803,0.07007803,0.005624367,0,
Background threshold,bgFluo,prep,0,0,0,0,0,0,0,0,0,
X cooridante for north vector,northx,prep,0,0,0,0,0,0,0,0,0,
Y cooridante for north vector,northy,prep,1,1,1,1,1,1,1,1,1,
